dataset,method,family,n,mean_rmse,std_rmse,median_rmse,mean_r2,std_r2,n_failures,frac_converged
logistic_growth,identity,linearized_ols,10,11.408380558846002,0.6581369340574853,11.539177207398318,0.9137491548038892,0.01623196964453801,0,
logistic_growth,yeojohnson_smear,linearized_ols,10,13.48069952747613,1.0696513756361634,13.232892738290376,0.8803790605752188,0.01947121974468131,0,
logistic_growth,yeojohnson_no_smear,linearized_ols,10,13.48239083131551,1.0419963370609893,13.311950579412903,0.8803203689427856,0.019326069191999806,0,
logistic_growth,reciprocal_smear,linearized_ols,10,110.39805230389732,60.94656480579829,91.19210557332838,-9.177028592579896,14.223819122611234,0,
logistic_growth,reciprocal_no_smear,linearized_ols,10,282.1664784972753,486.914179398289,102.72045979520894,-164.6495883621927,466.32810858576113,0,
logistic_growth,boxcox_no_smear,linearized_ols,10,,,,,,10,
logistic_growth,boxcox_smear,linearized_ols,10,,,,,,10,
logistic_growth,log_no_smear,linearized_ols,10,,,,,,10,
logistic_growth,log_smear,linearized_ols,10,,,,,,10,
logistic_growth,power_0.5_smear,linearized_ols,10,,,,,,10,
logistic_growth,power_2_smear,linearized_ols,10,,,,,,10,
multivariable_nonlinear,ZZU,zzu_hybrid,10,4.653986012035762,0.41130940521350257,4.45788611144894,0.9732792385743814,0.006441884668096913,1,1.0
multivariable_nonlinear,GN,nonlinear,10,4.745290158919883,0.4843321657383206,4.524104701147684,0.9724437982173019,0.006629777528973913,0,1.0
multivariable_nonlinear,BFGS,nonlinear,10,4.745290159172819,0.48433216521605726,4.524104700892868,0.972443798215377,0.006629777521985488,0,1.0
multivariable_nonlinear,GD,nonlinear,10,4.901764340857565,0.4373410435685867,4.753312453862113,0.9706327974339539,0.006694673086065036,0,0.0
multivariable_nonlinear,yeojohnson_smear,linearized_ols,10,5.093446002958464,0.5856755560325729,5.054278675214325,0.9680832222453862,0.008613377467337908,0,
multivariable_nonlinear,yeojohnson_no_smear,linearized_ols,10,5.100961358016778,0.5835322575475933,5.054271939528074,0.9679977661668392,0.008594374255825741,0,
multivariable_nonlinear,boxcox_smear,linearized_ols,10,5.55538561929578,0.5118795955456437,5.55538561929578,0.9588008976880293,0.013176095147990993,8,
multivariable_nonlinear,boxcox_no_smear,linearized_ols,10,5.556230105632862,0.5197608384334456,5.556230105632862,0.9587750974028517,0.01329464663696707,8,
multivariable_nonlinear,power_0.5_smear,linearized_ols,10,5.73827240247695,0.21935422040817218,5.73827240247695,0.9565227026873471,0.009376873429653758,8,
multivariable_nonlinear,identity,linearized_ols,10,5.8742714215190475,0.5588679745807009,5.794394479572244,0.9577403873768352,0.00978875143745149,0,
multivariable_nonlinear,power_2_smear,linearized_ols,10,10.862937214228232,0.09586966947649886,10.862937214228232,0.8453206150239412,0.019015484867612512,8,
multivariable_nonlinear,log_no_smear,linearized_ols,10,11.832136683569011,1.2207148470929732,11.832136683569011,0.8179516952177094,0.011971808381456723,8,
multivariable_nonlinear,log_smear,linearized_ols,10,13.126348396384273,1.399334443431714,13.126348396384273,0.77597596876389,0.016276310012736595,8,
multivariable_nonlinear,reciprocal_no_smear,linearized_ols,10,151.8703376338688,53.0391890910253,148.1730069799931,-29.476967122144963,20.12156867453235,0,
