dataset,method,family,seed,converged,n_iter,error,n_valid,rmse,mae,mse,r2,zzu_best_transform
exponential_multiplicative,BFGS,nonlinear,6,True,11.0,,24,6.426166810125971,3.9339843448573935,41.2956198715646,0.8923796005217729,
exponential_multiplicative,ZZU,zzu_hybrid,6,True,9.0,,24,6.409582423855941,3.911636705896266,41.082746848202994,0.8929343683127291,log_smear
exponential_multiplicative,identity,linearized_ols,7,,,,24,12.154959669380831,7.354756738562348,147.74304456427458,0.694444514824316,
exponential_multiplicative,log_no_smear,linearized_ols,7,,,,24,8.794299726688145,4.421856770393549,77.33970768282718,0.8400495131661438,
exponential_multiplicative,log_smear,linearized_ols,7,,,,24,8.480500105825875,4.3172439877576965,71.91888204491268,0.8512606196702146,
exponential_multiplicative,reciprocal_no_smear,linearized_ols,7,,,,24,60.113857186043184,27.524555799957117,3613.6758257839956,-6.473640965444596,
exponential_multiplicative,reciprocal_smear,linearized_ols,7,,,,24,38.23208177784575,21.705298629311084,1461.692077067885,-2.0230054694157085,
exponential_multiplicative,power_0.5_smear,linearized_ols,7,,,,24,10.792957776488183,5.495496882092506,116.48793756505675,0.7590849140493989,
exponential_multiplicative,power_2_smear,linearized_ols,7,,,,24,17.638919463695665,15.052337327216947,311.1314798467418,0.356531939907052,
exponential_multiplicative,boxcox_no_smear,linearized_ols,7,,,,24,8.794299726688145,4.421856770393549,77.33970768282718,0.8400495131661438,
exponential_multiplicative,boxcox_smear,linearized_ols,7,,,,24,8.480500105825875,4.3172439877576965,71.91888204491268,0.8512606196702146,
exponential_multiplicative,yeojohnson_no_smear,linearized_ols,7,,,,24,8.780233314225738,4.462203364415277,77.0924970522395,0.8405607830157167,
exponential_multiplicative,yeojohnson_smear,linearized_ols,7,,,,24,8.442608736990929,4.326617922549564,71.27764228591558,0.8525868027487625,
exponential_multiplicative,GD,nonlinear,7,False,5000.0,,24,8.507090516775996,4.322007255598112,72.37058906062009,0.8503264196423974,
exponential_multiplicative,GN,nonlinear,7,True,23.0,,24,8.514721741589383,4.322790673752451,72.50048633669495,0.8500577719687887,
exponential_multiplicative,BFGS,nonlinear,7,True,11.0,,24,8.514721741621678,4.322790673756416,72.5004863372449,0.8500577719676513,
exponential_multiplicative,ZZU,zzu_hybrid,7,True,9.0,,24,8.517762466102043,4.322790673830486,72.55227742893676,0.8499506599733347,log_smear
exponential_multiplicative,identity,linearized_ols,8,,,,24,11.473391828984155,7.705948032068693,131.63872006140036,0.6428477470319447,
exponential_multiplicative,log_no_smear,linearized_ols,8,,,,24,8.538690081948955,4.371800572608503,72.90922831557344,0.8021881772861079,
exponential_multiplicative,log_smear,linearized_ols,8,,,,24,8.157442980852903,4.26662800424666,66.5438759858663,0.819458171436993,
exponential_multiplicative,reciprocal_no_smear,linearized_ols,8,,,,24,44.72593622570423,19.31406371274967,2000.409371265762,-4.42735992474506,
exponential_multiplicative,reciprocal_smear,linearized_ols,8,,,,24,28.00437753856434,13.651590581789769,784.2451613224471,-1.1277548590184034,
exponential_multiplicative,power_0.5_smear,linearized_ols,8,,,,24,10.123777868341023,5.596233167784701,102.4908783275115,0.7219294741982303,
exponential_multiplicative,power_2_smear,linearized_ols,8,,,,24,18.512804345402554,16.606374832695654,342.7239247311557,0.07014728032380446,
exponential_multiplicative,boxcox_no_smear,linearized_ols,8,,,,24,8.538690081948955,4.371800572608503,72.90922831557344,0.8021881772861079,
exponential_multiplicative,boxcox_smear,linearized_ols,8,,,,24,8.157442980852903,4.26662800424666,66.5438759858663,0.819458171436993,
exponential_multiplicative,yeojohnson_no_smear,linearized_ols,8,,,,24,8.508229577736504,4.3566173727530435,72.3899705474703,0.8035969883233369,
exponential_multiplicative,yeojohnson_smear,linearized_ols,8,,,,24,8.06440029565943,4.220281094223768,65.0345521286319,0.8235531551607655,
exponential_multiplicative,GD,nonlinear,8,False,5000.0,,24,8.231028472643173,4.293436236679391,67.7498297174626,0.8161862686715,
exponential_multiplicative,GN,nonlinear,8,True,22.0,,24,8.237912341631311,4.305586638109475,67.86319974840148,0.8158786816488519,
exponential_multiplicative,BFGS,nonlinear,8,True,11.0,,24,8.237912341538733,4.305586637998673,67.86319974687618,0.8158786816529903,
exponential_multiplicative,ZZU,zzu_hybrid,8,True,9.0,,24,8.248007841182265,4.297224215109594,68.02963334820411,0.815427126550843,log_smear
exponential_multiplicative,identity,linearized_ols,9,,,,24,10.693527492626881,6.1991401155266495,114.35153023556695,0.7061853733863612,
exponential_multiplicative,log_no_smear,linearized_ols,9,,,,24,7.964067264480312,4.017393422864887,63.42636739316692,0.8370323998752529,
