dataset,method,family,n,mean_rmse,std_rmse,median_rmse,mean_r2,std_r2,n_failures,frac_converged
logistic_growth,BFGS,nonlinear,10,3.067228194744256,0.3615860165797372,3.1137334150242024,0.9937584231046662,0.0015352065142127547,0,1.0
logistic_growth,GD,nonlinear,10,4.729663578032133,0.42463638605384135,4.821444232092196,0.985201372707688,0.0029406645694223083,0,0.0
logistic_growth,identity,linearized_ols,10,11.408380558845998,0.6581369340574845,11.539177207398318,0.9137491548038892,0.01623196964453798,0,
logistic_growth,yeojohnson_smear,linearized_ols,10,13.48069952747613,1.0696513756361647,13.23289273829037,0.8803790605752188,0.019471219744681332,0,
logistic_growth,yeojohnson_no_smear,linearized_ols,10,13.482390831315513,1.0419963370609908,13.3119505794129,0.8803203689427856,0.019326069191999837,0,
logistic_growth,reciprocal_smear,linearized_ols,10,110.39805230388131,60.94656480573974,91.19210557332815,-9.177028592573345,14.223819122589314,0,
logistic_growth,reciprocal_no_smear,linearized_ols,10,282.16647849716276,486.91417939794565,102.72045979520877,-164.64958836198971,466.3281085851243,0,
logistic_growth,boxcox_no_smear,linearized_ols,10,,,,,,10,
logistic_growth,boxcox_smear,linearized_ols,10,,,,,,10,
logistic_growth,log_no_smear,linearized_ols,10,,,,,,10,
logistic_growth,log_smear,linearized_ols,10,,,,,,10,
logistic_growth,power_0.5_smear,linearized_ols,10,,,,,,10,
logistic_growth,power_2_smear,linearized_ols,10,,,,,,10,
michaelis_menten,BFGS,nonlinear,10,0.296731102304881,0.05561265206125979,0.29090422861171306,0.9697836807192038,0.02730290426998952,0,1.0
michaelis_menten,GN,nonlinear,10,0.29673110280070325,0.05561265194221932,0.29090422870403776,0.9697836806397275,0.02730290429592793,0,1.0
michaelis_menten,ZZU,zzu_hybrid,10,0.2967629527329921,0.05567292109997775,0.29067249398975203,0.9697978072633446,0.027219698731135097,0,1.0
michaelis_menten,boxcox_smear,linearized_ols,10,1.0577150002272497,0.2090585413536933,1.0933088934613802,0.6908105492906792,0.04019843535857605,0,
michaelis_menten,power_2_smear,linearized_ols,10,1.0577150002272497,0.20905854135369342,1.0933088934613804,0.6908105492906791,0.040198435358576055,0,
michaelis_menten,yeojohnson_smear,linearized_ols,10,1.0643249711390717,0.20327980072439233,1.0993792939043558,0.6855975444401932,0.040361310929933905,0,
michaelis_menten,boxcox_no_smear,linearized_ols,10,1.078467784068717,0.22233553733446879,1.1172564099140914,0.6801032828954645,0.04453246984064157,0,
michaelis_menten,yeojohnson_no_smear,linearized_ols,10,1.079768374778266,0.21485525496581953,1.1132574133737618,0.6780822043579287,0.042003077875347274,0,
michaelis_menten,identity,linearized_ols,10,1.1417830058905185,0.1673017358854532,1.1702160468693559,0.6254205105596894,0.08354356316358469,0,
michaelis_menten,power_0.5_smear,linearized_ols,10,1.233743239970131,0.14168553914587068,1.2349282368672165,0.5467864885671646,0.1696049141545372,0,
michaelis_menten,log_no_smear,linearized_ols,10,1.441946435399432,0.112830708382808,1.4330979221669304,0.33696104968109925,0.4262211862107484,0,
michaelis_menten,log_smear,linearized_ols,10,1.4790982629546765,0.16409767962964786,1.4300610070170026,0.30935953769948277,0.41972112679604645,0,
michaelis_menten,GD,nonlinear,10,2.4460338580414938,0.2215830135228428,2.408907428617768,-0.9762840407616675,1.4529385456189183,0,0.0
michaelis_menten,reciprocal_no_smear,linearized_ols,10,4.3071455587071314,2.0082704690710984,3.873356323477797,-6.516637669063606,8.796918162860642,0,
michaelis_menten,reciprocal_smear,linearized_ols,10,79.11431095397816,83.23138206410479,50.70340484491397,-3875.248249606906,7295.382422946246,0,
multivariable_nonlinear,ZZU,zzu_hybrid,10,4.6539860119139576,0.4113094053148332,4.457886111458771,0.973279238575683,0.006441884668886294,1,1.0
multivariable_nonlinear,GN,nonlinear,10,4.745290159063156,0.4843321653765928,4.524104700701466,0.9724437982164865,0.006629777523407778,0,1.0
multivariable_nonlinear,BFGS,nonlinear,10,4.745290159144244,0.4843321655098773,4.5241047011081275,0.9724437982155308,0.006629777524237911,0,1.0
multivariable_nonlinear,GD,nonlinear,10,4.901764340857618,0.437341043568614,4.753312453862238,0.9706327974339531,0.006694673086065799,0,0.0
multivariable_nonlinear,yeojohnson_smear,linearized_ols,10,5.093446002958464,0.5856755560325739,5.054278675214329,0.9680832222453862,0.008613377467337922,0,
multivariable_nonlinear,yeojohnson_no_smear,linearized_ols,10,5.100961358016776,0.5835322575476027,5.054271939528076,0.9679977661668394,0.0085943742558258,0,
multivariable_nonlinear,boxcox_smear,linearized_ols,10,5.555385619295785,0.5118795955456402,5.555385619295785,0.9588008976880292,0.013176095147990875,8,
multivariable_nonlinear,boxcox_no_smear,linearized_ols,10,5.556230105632864,0.5197608384334442,5.556230105632864,0.9587750974028517,0.01329464663696703,8,
multivariable_nonlinear,power_0.5_smear,linearized_ols,10,5.7382724024769605,0.21935422040816246,5.7382724024769605,0.9565227026873468,0.009376873429653642,8,
multivariable_nonlinear,identity,linearized_ols,10,5.874271421519046,0.5588679745807049,5.794394479572245,0.9577403873768352,0.009788751437451487,0,
multivariable_nonlinear,power_2_smear,linearized_ols,10,10.862937214228221,0.09586966947650387,10.862937214228221,0.8453206150239415,0.019015484867612356,8,
multivariable_nonlinear,log_no_smear,linearized_ols,10,11.832136683568937,1.2207148470929305,11.832136683568937,0.8179516952177117,0.011971808381455505,8,
multivariable_nonlinear,log_smear,linearized_ols,10,13.126348396384298,1.3993344434317474,13.126348396384298,0.7759759687638891,0.016276310012737695,8,
multivariable_nonlinear,reciprocal_no_smear,linearized_ols,10,151.87033763387998,53.03918909103314,148.17300698001748,-29.47696712214999,20.121568674535883,0,
multivariable_nonlinear,reciprocal_smear,linearized_ols,10,213.60276699619786,330.8943477200094,103.9656337661182,-156.1158479363715,445.22102466534307,0,
