dataset,method,variant,seed,fit_time_sec,n_iter,converged,rmse,fit_error
exponential_additive,gauss_newton,zzu,9,0.0014426070119952783,19.0,True,5.955605767887266,
exponential_additive,bfgs,pure,0,0.001357289991574362,18.0,True,4.272293072370992,
exponential_additive,bfgs,zzu,0,0.0016483930085087195,11.0,True,21.367811742725713,
exponential_additive,bfgs,pure,1,0.001524784995126538,20.0,True,4.680148391122373,
exponential_additive,bfgs,zzu,1,0.003111778001766652,34.0,True,4.753218429913742,
exponential_additive,bfgs,pure,2,0.0014412889868253842,19.0,True,4.726527676447538,
exponential_additive,bfgs,zzu,2,0.0017115849914262071,12.0,True,19.090014291214345,
exponential_additive,bfgs,pure,3,0.0015465309988940135,21.0,True,5.002795478346785,
exponential_additive,bfgs,zzu,3,0.0015778800006955862,12.0,True,17.108188668667957,
exponential_additive,bfgs,pure,4,0.0013070459972368553,17.0,True,5.696980344789469,
exponential_additive,bfgs,zzu,4,0.004285835995688103,45.0,True,5.674534749925537,
exponential_additive,bfgs,pure,5,0.0015665780083509162,21.0,True,4.797266521628878,
exponential_additive,bfgs,zzu,5,0.0028573900053743273,30.0,True,4.699990152009128,
exponential_additive,bfgs,pure,6,0.0015182030037976801,21.0,True,5.28298698370641,
exponential_additive,bfgs,zzu,6,0.0035573260101955384,40.0,True,5.288357031824831,
exponential_additive,bfgs,pure,7,0.0016045820084400475,22.0,True,5.820281900841041,
exponential_additive,bfgs,zzu,7,0.0012221179931657389,5.0,True,18.489331055495498,
exponential_additive,bfgs,pure,8,0.0015336569922510535,21.0,True,5.201245025976644,
exponential_additive,bfgs,zzu,8,0.0031699179962743074,35.0,True,5.113500213535658,
exponential_additive,bfgs,pure,9,0.0013800139859085903,18.0,True,5.939884246979885,
exponential_additive,bfgs,zzu,9,0.003078606998315081,33.0,True,5.955605770506154,
michaelis_menten,gradient_descent,pure,0,0.1171277609973913,5000.0,False,2.238793106979243,
michaelis_menten,gradient_descent,zzu,0,0.11775670800125226,5000.0,False,0.8981343437793643,
michaelis_menten,gradient_descent,pure,1,0.11685430900251959,5000.0,False,2.7140001612270135,
michaelis_menten,gradient_descent,zzu,1,0.1172271920077037,5000.0,False,0.6515632688629913,
michaelis_menten,gradient_descent,pure,2,0.11700662299699616,5000.0,False,2.232080785654068,
