dataset,method,family,seed,converged,n_iter,error,n_valid,rmse,mae,mse,r2,zzu_best_transform
exponential_multiplicative,GD,nonlinear,5,True,3819.0,,24,4.549678173204523,3.2625330737630276,20.699571479733642,0.7893127419680398,
exponential_multiplicative,GN,nonlinear,5,True,23.0,,24,4.548419915775853,3.2621702071049437,20.688123730226422,0.7894292610446146,
exponential_multiplicative,BFGS,nonlinear,5,True,16.0,,24,4.548419924498389,3.2621702087597284,20.688123809573927,0.7894292602369888,
exponential_multiplicative,ZZU,zzu_hybrid,5,True,9.0,,24,4.5264227485423545,3.2552530498396055,20.488502898521727,0.7914610695638924,log_smear
exponential_multiplicative,identity,linearized_ols,6,,,,24,10.580635818487751,7.891887037028784,111.94985432346596,0.7082477976770407,
exponential_multiplicative,log_no_smear,linearized_ols,6,,,,24,6.362994404900157,3.8879043618290443,40.487697796790705,0.8944851239817637,
exponential_multiplicative,log_smear,linearized_ols,6,,,,24,6.315595455920951,3.8953142504799154,39.88674596284937,0.8960512628758424,
exponential_multiplicative,reciprocal_no_smear,linearized_ols,6,,,,24,103.27726367715464,45.104729606897116,10666.193192640525,-26.797136254984334,
exponential_multiplicative,reciprocal_smear,linearized_ols,6,,,,24,50.37962486568643,25.877232116429997,2538.1066016072905,-5.61455251750294,
exponential_multiplicative,power_0.5_smear,linearized_ols,6,,,,24,8.65824352018541,5.124032407127815,74.96518085483264,0.8046334517886736,
exponential_multiplicative,power_2_smear,linearized_ols,6,,,,24,18.50976461375393,16.06055411871768,342.6113860565772,0.1071214247933523,
exponential_multiplicative,boxcox_no_smear,linearized_ols,6,,,,24,6.231783200774801,3.916036427164194,38.83512186145902,0.8987918975059691,
exponential_multiplicative,boxcox_smear,linearized_ols,6,,,,24,6.2205475206787355,3.8930382709395133,38.69521145702236,0.8991565176197599,
exponential_multiplicative,yeojohnson_no_smear,linearized_ols,6,,,,24,6.115164436139374,3.9220294949830716,37.39523608102379,0.9025443798122139,
exponential_multiplicative,yeojohnson_smear,linearized_ols,6,,,,24,6.092983032330563,3.875193595282871,37.124442232268144,0.9032500949042738,
exponential_multiplicative,GD,nonlinear,6,False,5000.0,,24,6.4062136527403695,3.9251904652539498,41.03957336455711,0.8930468826077388,
exponential_multiplicative,GN,nonlinear,6,True,24.0,,24,6.426166804164011,3.9339843460387294,41.295619794939505,0.8923796007214653,
exponential_multiplicative,BFGS,nonlinear,6,True,11.0,,24,6.426166810124863,3.933984344857229,41.29561987155035,0.89237960052181,
exponential_multiplicative,ZZU,zzu_hybrid,6,True,9.0,,24,6.409582423850928,3.911636705895772,41.08274684813873,0.8929343683128965,log_smear
exponential_multiplicative,identity,linearized_ols,7,,,,24,12.154959669380839,7.354756738562347,147.74304456427475,0.6944445148243157,
exponential_multiplicative,log_no_smear,linearized_ols,7,,,,24,8.794299726688175,4.421856770393559,77.33970768282772,0.8400495131661427,
exponential_multiplicative,log_smear,linearized_ols,7,,,,24,8.480500105825893,4.317243987757702,71.91888204491298,0.8512606196702139,
exponential_multiplicative,reciprocal_no_smear,linearized_ols,7,,,,24,60.113857186043575,27.524555799957216,3613.6758257840424,-6.473640965444693,
exponential_multiplicative,reciprocal_smear,linearized_ols,7,,,,24,38.23208177784865,21.705298629312647,1461.6920770681065,-2.0230054694161668,
exponential_multiplicative,power_0.5_smear,linearized_ols,7,,,,24,10.792957776488203,5.495496882092513,116.48793756505717,0.759084914049398,
exponential_multiplicative,power_2_smear,linearized_ols,7,,,,24,17.638919463695682,15.052337327216959,311.1314798467424,0.3565319399070508,
exponential_multiplicative,boxcox_no_smear,linearized_ols,7,,,,24,8.794299726688175,4.421856770393559,77.33970768282772,0.8400495131661427,
exponential_multiplicative,boxcox_smear,linearized_ols,7,,,,24,8.480500105825893,4.317243987757702,71.91888204491298,0.8512606196702139,
exponential_multiplicative,yeojohnson_no_smear,linearized_ols,7,,,,24,8.78023331422578,4.462203364415287,77.09249705224025,0.8405607830157151,
exponential_multiplicative,yeojohnson_smear,linearized_ols,7,,,,24,8.442608736990946,4.326617922549567,71.27764228591587,0.8525868027487619,
exponential_multiplicative,GD,nonlinear,7,False,5000.0,,24,8.507090516774864,4.3220072555978915,72.37058906060084,0.8503264196424372,
exponential_multiplicative,GN,nonlinear,7,True,23.0,,24,8.514721741770193,4.322790673775589,72.50048633977404,0.8500577719624207,
exponential_multiplicative,BFGS,nonlinear,7,True,11.0,,24,8.514721741620448,4.322790673756281,72.50048633722398,0.8500577719676946,
exponential_multiplicative,ZZU,zzu_hybrid,7,True,9.0,,24,8.517762465564408,4.322790673750282,72.55227741977787,0.8499506599922768,log_smear
exponential_multiplicative,identity,linearized_ols,8,,,,24,11.473391828984157,7.705948032068693,131.63872006140042,0.6428477470319445,
exponential_multiplicative,log_no_smear,linearized_ols,8,,,,24,8.538690081948957,4.371800572608506,72.90922831557347,0.8021881772861079,
exponential_multiplicative,log_smear,linearized_ols,8,,,,24,8.157442980852904,4.266628004246662,66.54387598586631,0.8194581714369928,
exponential_multiplicative,reciprocal_no_smear,linearized_ols,8,,,,24,44.725936225704054,19.31406371274962,2000.4093712657461,-4.4273599247450175,
exponential_multiplicative,reciprocal_smear,linearized_ols,8,,,,24,28.004377538563727,13.65159058178954,784.2451613224126,-1.1277548590183097,
exponential_multiplicative,power_0.5_smear,linearized_ols,8,,,,24,10.123777868341024,5.596233167784702,102.49087832751154,0.7219294741982303,
exponential_multiplicative,power_2_smear,linearized_ols,8,,,,24,18.512804345402554,16.606374832695654,342.7239247311557,0.07014728032380446,
exponential_multiplicative,boxcox_no_smear,linearized_ols,8,,,,24,8.538690081948957,4.371800572608506,72.90922831557347,0.8021881772861079,
exponential_multiplicative,boxcox_smear,linearized_ols,8,,,,24,8.157442980852904,4.266628004246662,66.54387598586631,0.8194581714369928,
exponential_multiplicative,yeojohnson_no_smear,linearized_ols,8,,,,24,8.508229577736504,4.3566173727530435,72.3899705474703,0.8035969883233369,
exponential_multiplicative,yeojohnson_smear,linearized_ols,8,,,,24,8.064400295659425,4.220281094223767,65.03455212863183,0.8235531551607658,
exponential_multiplicative,GD,nonlinear,8,False,5000.0,,24,8.231028472644342,4.293436236679604,67.74982971748183,0.8161862686714478,
exponential_multiplicative,GN,nonlinear,8,True,22.0,,24,8.237912341630603,4.3055866381076155,67.8631997483898,0.8158786816488837,
